beta,gamma,Nr,R*,dP*,Theta*
0.0,3.8625,4.0,0.7556708337122156,0.08171690581834196,0.7873392579931878
0.0,3.875,4.0,0.7558763505592683,0.08136966561950569,0.7875747123409588
0.0,3.8875,4.0,0.7560784250585664,0.08102654437304949,0.7878211090600233
0.0,3.9,4.0,0.756276885141701,0.08068748782989957,0.7880779778153936
0.0,3.9125,4.0,0.7564715616779416,0.08035244151099738,0.7883448494724684
0.0,3.925,4.0,0.7566622887025679,0.08002135075630956,0.7886212565286164
0.0,3.9375,4.0,0.756848903640476,0.07969416074511476,0.7889067335299921
0.0,3.95,4.0,0.7570312475167452,0.07937081653818417,0.7892008174811806
0.0,3.9625,4.0,0.7572091651540869,0.07905126311353469,0.7895030482365616
0.0,3.975,4.0,0.7573825053640169,0.07873544539414756,0.7898129688859058
0.0,3.9875,4.0,0.7575511211211606,0.07842330828311893,0.7901301261226765
0.0,4.0,4.0,0.7577148697279427,0.07811479669639991,0.7904540705996732
0.0,4.0125,4.0,0.757873612965015,0.07780985559674206,0.7907843572685038
0.0,4.025,4.0,0.758027217231011,0.07750843001880478,0.791120545708229
0.0,4.0375,4.0,0.7581755536666527,0.07721046510510932,0.7914622004341771
0.0,4.05,4.0,0.7583184982647615,0.07691590613355656,0.7918088911900255
0.0,4.0625,4.0,0.7584559319714672,0.07662469854293624,0.7921601932301786
0.0,4.075,4.0,0.7585877407676156,0.07633678796647062,0.7925156875793637
0.0,4.0875,4.0,0.7587138157403155,0.07605212025471243,0.792874961276056
0.0,4.1,4.0,0.7588340531406333,0.07577064150567397,0.7932376076009956
0.0,4.1125,4.0,0.7589483544273528,0.07549229808109673,0.793603226289956
0.0,4.125,4.0,0.7590566262948434,0.07521703664521731,0.7939714237266833
0.0,4.1375,4.0,0.7591587806932708,0.07494480417601572,0.7943418131158665
0.0,4.15,4.0,0.7592547348287587,0.07467554799293394,0.7947140146504831
0.0,4.1625,4.0,0.7593444111592338,0.07440921577816709,0.7950876556470816
0.0,4.175,4.0,0.7594277373687561,0.07414575559554437,0.7954623706767049
0.0,4.1875,4.0,0.7595046463389983,0.07388511591322612,0.7958378016754222
0.0,4.2,4.0,0.7595750761010851,0.07362724562057613,0.7962135980372835
0.0,4.2125,4.0,0.7596389697826263,0.07337209404583729,0.7965894166927892
0.0,4.225,4.0,0.7596962755417914,0.07311961097380731,0.7969649221723119
0.0,4.2375,4.0,0.7597469464903843,0.07286974666070231,0.7973397866563008
0.0,4.25,4.0,0.7597909406092579,0.07262245184982392,0.7977136900097347
0.0,4.2625,4.0,0.7598282206549272,0.0723776777872264,0.7980863198004039
0.0,4.275,4.0,0.7598587540568122,0.07213537622934924,0.7984573713103004
0.0,4.2875,4.0,0.7598825128084501,0.0718954994637058,0.7988265475276024
0.0,4.3,4.0,0.7598994733508838,0.07165800031109276,0.7991935591330336
0.0,4.3125,4.0,0.7599096164511631,0.0714228321424624,0.7995581244692068
0.0,4.325,4.0,0.7599129270718793,0.07118994888635427,0.7999199695053264
0.0,4.3375,4.0,0.7599093942444513,0.07095930503632722,0.8002788277847347
0.0,4.35,4.0,0.7598990109280669,0.07073085566039965,0.8006344403721773
0.0,4.3625,4.0,0.759881773870093,0.07050455640727628,0.8009865557840522
0.0,4.375,4.0,0.7598576834682775,0.07028036351337819,0.8013349299166903
0.0,4.3875,4.0,0.7598267436228465,0.07005823380866777,0.8016793259654955
0.0,4.4,4.0,0.7597889615935729,0.06983812471684958,0.8020195143360683
0.0,4.4125,4.0,0.7597443478543184,0.0696199942664177,0.8023552725549089
0.0,4.425,4.0,0.75969291594562,0.06940380109005305,0.8026863851678836
0.0,4.4375,4.0,0.7596346823337956,0.06918950442703381,0.8030126436398191
0.0,4.45,4.0,0.759569666264345,0.06897706412464139,0.8033338462491719
0.0,4.4625,4.0,0.7594978896225226,0.06876644064358363,0.8036497979787628
0.0,4.475,4.0,0.7594193767943169,0.06855759505417852,0.8039603104024311
0.0,4.4875,4.0,0.7593341545293861,0.06835048903856361,0.8042652015747841
0.0,4.5,4.0,0.7592422518093722,0.06814508489109777,0.8045642959144768
0.04,4.5,4.0,0.7592088803674354,0.07478792845090966,0.8084215409491029
0.0425,4.5,4.0,0.7591151091821489,0.07513019712859217,0.8084339629357163
0.045,4.5,4.0,0.7590110140260593,0.07546341163457143,0.8084194080193763
0.0625,4.5,4.0,0.7580041220388635,0.07753907629846304,0.8075724556447094
0.065,4.5,4.0,0.7578223534243604,0.07779867502761764,0.8073471763705009
0.0675,4.5,4.0,0.7576316263259866,0.07804905033379972,0.8070965337733075
0.07,4.5,4.0,0.7574321377481898,0.07829022896915175,0.806820819606789
0.0725,4.4875,4.0,0.75741045348523,0.07873530505808217,0.806475837807251
0.0725,4.5,4.0,0.7572240934158815,0.07852224813917345,0.8065203471152728
0.075,4.4875,4.0,0.7571966141899931,0.07895869159386294,0.8061596361074794
0.075,4.5,4.0,0.7570077074803419,0.07874515581746946,0.8061954504823576
0.0775,4.5,4.0,0.7567832021253842,0.07895901098738395,0.805846484182907
0.08,4.5,4.0,0.7565508070596788,0.07916388381996248,0.8054738222216983
0.0825,4.5,4.0,0.7563107588748631,0.07935985574586002,0.8050778572554912
0.085,4.5,4.0,0.7560633002550997,0.07954701939869833,0.8046589996069566
0.08750000000000001,4.5,4.0,0.7558086790133866,0.07972547841099226,0.8042176761464145
0.09,4.5,4.0,0.7555471469441922,0.07989534701544254,0.8037543290409623
0.0925,4.5,4.0,0.7552789584656053,0.08005674943512492,0.8032694143774616
0.095,4.5,4.0,0.7550043690346987,0.08020981901456975,0.8027634006336474
0.0975,4.5,4.0,0.7547236333211987,0.08035469708389859,0.8022367669966584
0.1,4.5,4.0,0.7544370031236487,0.08049153150078148,0.8016900015206904
0.10250000000000001,4.5,4.0,0.7541447250714189,0.08062047492745977,0.8011235991862116
0.105,4.5,4.0,0.7538470395704839,0.0807416841428007,0.8005380619429938
0.1075,4.5,4.0,0.7535441833156465,0.0808553225020289,0.799933904059401
0.11,4.5,4.0,0.7532363930379723,0.08096156343490432,0.7993116594156952
0.1125,4.5,4.0,0.7529239090209577,0.08106059363718687,0.7986718886284523
0.115,4.5,4.0,0.7526069783307543,0.08115261590517278,0.7980151858956924
0.11750000000000001,4.5,4.0,0.7522858577690034,0.08123785166050493,0.7973421855479612
0.12,4.5,4.0,0.7519608165486087,0.0813165431443675,0.7966535682516412
0.1225,4.5,4.0,0.7516321387113525,0.08138895531501043,0.795950066857323
0.125,4.5,4.0,0.7513001252792039,0.08145537747230526,0.7952324718473905
0.1275,4.5,4.0,0.7509650961619769,0.08151612460451133,0.794501636350056
0.13,4.5,4.0,0.750627391822558,0.08157153849099727,0.7937584806831393
0.1325,4.5,4.0,0.7502873746960363,0.081621988551678,0.7930039963972172
0.135,4.5,4.0,0.7499454303854741,0.08166787246285145,0.7922392497779247
0.1375,4.5,4.0,0.7496019686173642,0.08170961653140082,0.7914653847794215
0.14,4.5,4.0,0.7492574239725868,0.08174767583539647,0.7906836253566808
0.14250000000000002,4.5,4.0,0.7489122563861002,0.08178253411683677,0.7898952771679123
0.145,4.5,4.0,0.7485669514213948,0.08181470344179297,0.7891017286323546
0.1475,4.5,4.0,0.7482220203128689,0.08184472359361109,0.7883044513167161
0.15,4.5,4.0,0.7478779997855731,0.08187316122829558,0.7875049996613755
0.1525,4.5,4.0,0.7475354516493968,0.08190060877299311,0.7867050100042939
0.155,4.5,4.0,0.7471949620658296,0.08192768319592583,0.7859061984647284
0.1575,4.5,4.0,0.74685714034828,0.08195502488699859,0.7851103569500041
0.16,4.5,4.0,0.7465226174476032,0.08198329641045829,0.7843193480623076
0.1625,4.5,4.0,0.7461920442528103,0.08201318102877375,0.7835350994019115
0.165,4.5,4.0,0.7458660897115255,0.08204538099592813,0.7827595973436118
0.1675,4.5,4.0,0.7455454388000947,0.08208061564181718,0.7819948803195677
0.17,4.5,4.0,0.7452307903494596,0.08211961924634686,0.7812430316898238
0.17250000000000001,4.5,4.0,0.7449228547586576,0.08216313874922755,0.7805061722474856
0.17250000000000001,4.5,6.0,0.7408428746411526,0.09014474216494571,0.7983564106478365
0.17500000000000002,4.5,4.0,0.7446223516098023,0.08221193128923818,0.7797864524316733
0.17500000000000002,4.5,6.0,0.7403971173272049,0.09038839255078879,0.7976741963566757
0.1775,3.65,10.0,0.7331454548353993,0.11843588249600309,0.8093103695174357
0.1775,3.6625,10.0,0.7334243582782666,0.118063935479013,0.8093807241995784
0.1775,3.675,10.0,0.7337048655426719,0.11769649418340004,0.8094645960736487
0.1775,3.6875,10.0,0.7339867628776088,0.11733348750934192,0.8095614781669805
0.1775,4.5,4.0,0.7443300072167315,0.08226676160349083,0.7790860443298164
0.1775,4.5,6.0,0.7399614957949284,0.09064191220386267,0.7970110498797097
0.18,3.6125,10.0,0.7318804237657843,0.12012720740272696,0.8088861959409903
0.18,3.625,10.0,0.7321509789024618,0.11974105255383007,0.8089155585861919
0.18,3.6375,10.0,0.7324237250019904,0.11935961750250274,0.8089597337992096
0.18,3.65,10.0,0.7326984568987993,0.11898283304825491,0.8090182415457713
0.18,3.6625,10.0,0.7329749659373075,0.11861062927493234,0.8090905912657185
0.18,3.675,10.0,0.7332530402526526,0.11824293561217972,0.8091762825634822
0.18,3.6875,10.0,0.7335324650575327,0.11787968092422084,0.8092748059407464
0.18,3.7,10.0,0.7338130229347515,0.11752079357795013,0.809385643561737
0.18,3.7125,10.0,0.7340944941462246,0.11716620152849898,0.809508270042839
0.18,4.5,4.0,0.7440465521193023,0.08232839931300862,0.7784071335179478
0.18,4.5,6.0,0.7395367211087999,0.09090611860932643,0.7963691436591683
0.1825,3.575,10.0,0.7306633456254477,0.12188219411577766,0.8085932718922609
0.1825,3.5875,10.0,0.7309239747815259,0.12148118908186341,0.8085785610547095
0.1825,3.6,10.0,0.7311873575508219,0.1210851116603022,0.8085798807450437
0.1825,3.6125,10.0,0.7314532993016027,0.12069389517661942,0.8085967823580081
0.1825,3.625,10.0,0.7317216011779903,0.12030747203037583,0.8086288050662251
0.1825,3.6375,10.0,0.7319920603684683,0.11992577375823757,0.8086754764300921
0.1825,3.65,10.0,0.7322644703818842,0.11954873110990132,0.8087363130372095
0.1825,3.6625,10.0,0.7325386213262247,0.11917627412180987,0.808810821194544
0.1825,3.675,10.0,0.7328143001972481,0.11880833218805568,0.8088984976475916
0.1825,3.6875,10.0,0.7330912911753501,0.11844483413992155,0.8089988303460892
0.1825,3.7,10.0,0.7333693759244644,0.1180857083224081,0.8091112992344749
0.1825,3.7125,10.0,0.7336483339061218,0.11773088267076162,0.8092353770804587
0.1825,3.725,10.0,0.733927942692694,0.11738028478901023,0.8093705303241253
0.1825,3.7375,10.0,0.7342079782962011,0.11703384202749585,0.8095162199545988
0.1825,4.5,4.0,0.7437727185564168,0.08239761610004002,0.7777519108388404
0.1825,4.5,6.0,0.7391235027710702,0.09118182651481811,0.7957506374652961
0.185,3.5375,10.0,0.7294991201609186,0.12370367593506267,0.8084404249420892
0.185,3.55,10.0,0.7297483093242859,0.12328719543592014,0.8083787642800028
0.185,3.5625,10.0,0.7300007844571343,0.12287584229657286,0.808334263379893
0.185,3.575,10.0,0.7302563636329241,0.12246955296491503,0.8083065093257977
0.185,3.5875,10.0,0.730514859928292,0.12206826276121271,0.8082950754963055
0.185,3.6,10.0,0.7307760816900907,0.121671905951217,0.8082995220688424
0.185,3.6125,10.0,0.7310398328083768,0.12128041580260558,0.8083193965623483
0.185,3.625,10.0,0.7313059129955107,0.12089372465889926,0.8083542344262213
0.185,3.6375,10.0,0.7315741180683533,0.12051176400895952,0.8084035596676514
0.185,3.65,10.0,0.7318442402347803,0.12013446455809297,0.8084668855301431
0.185,3.6625,10.0,0.7321160683881849,0.11976175630317298,0.80854371520396
0.185,3.675,10.0,0.7323893884023036,0.11939356860816303,0.8086335425836794
0.185,3.6875,10.0,0.7326639834347636,0.11902983027943921,0.8087358530555593
0.185,3.7,10.0,0.732939634236496,0.11867046964292052,0.8088501243242808
0.185,3.7125,10.0,0.7332161194684839,0.11831541462260506,0.8089758272652856
0.185,3.725,10.0,0.7334932160218507,0.11796459281890545,0.8091124268076273
0.185,3.7375,10.0,0.7337706993457722,0.11761793158577911,0.8092593828324347
0.185,3.75,10.0,0.7340483437841893,0.11727535810826017,0.8094161510941544
0.185,4.5,4.0,0.743509237936768,0.08247518280703788,0.7771225641627064
0.185,4.5,6.0,0.7387225469231402,0.09146984467632176,0.7951576714020159
0.1875,3.5,10.0,0.7283924917374704,0.12559444105496484,0.8084359941416471
0.1875,3.5125,10.0,0.7286288105769807,0.1251618825083672,0.808324742047257
0.1875,3.525,10.0,0.7288689102495571,0.12473464123188827,0.8082316790898446
0.1875,3.5375,10.0,0.7291126239749375,0.12431265734132677,0.8081564317912788
0.1875,3.55,10.0,0.7293597791882007,0.12389586965593008,0.8080986117577482
0.1875,3.5625,10.0,0.7296101977795885,0.12348421575624197,0.8080578160715467
0.1875,3.575,10.0,0.7298636963569002,0.12307763203873642,0.8080336277182962
0.1875,3.5875,10.0,0.7301200865216587,0.12267605377587487,0.8080256160625456
0.1875,3.6,10.0,0.7303791751576634,0.12227941518038134,0.8080333373673847
0.1875,3.6125,10.0,0.7306407647215796,0.12188764947453916,0.8080563353547001
0.1875,3.625,10.0,0.7309046535347504,0.12150068895808165,0.8080941418184471
0.1875,3.6375,10.0,0.7311706360822621,0.12111846507909572,0.8081462772803901
0.1875,3.65,10.0,0.7314385033067111,0.12074090851336157,0.8082122516880322
0.1875,3.6625,10.0,0.7317080429152549,0.12036794922661924,0.8082915651588096
